PES1201900144,NA,,,NA,,CSE,
PES1201900145,NA,,,NA,,,
PES1201900146,PES1UG19CS388,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900147,PES1UG19CS269,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900148,PES1UG19CS118,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900149,NA,,,NA,,CSE,
PES1201900150,PES1UG19CS344,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900151,NA,,,NA,,CSE,
PES1201900152,PES1UG19CS096,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900153,PES1UG19CS307,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900154,NA,,,NA,,,
PES1201900155,PES1UG19CS318,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900156,NA,,,NA,,,
PES1201900157,PES1UG19CS153,Sem-3,Section C,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900158,PES1UG19CS491,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900159,PES1UG19CS569,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900160,NA,,,NA,,,
PES1201900161,PES1UG19CS252,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900162,PES1UG19CS093,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900163,NA,,,NA,,,
PES1201900164,PES1UG19CS472,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900165,PES1UG19CS133,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900166,PES1UG19CS155,Sem-3,Section C,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900167,NA,,,NA,,,
PES1201900168,PES1UG19CS429,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road
PES1201900168,PES1UG19CS429,CIE - Level1(Odd Sem),Section A,NA,CIE,CSE,PES University (Ring Road)
PES1201900169,PES1UG19CS080,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900170,PES1UG19CS381,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900171,PES1UG19CS106,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900172,PES1UG19CS510,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900173,NA,,,NA,,CSE,
PES1201900174,1U19CS024,Sem-1,Section A,Chemistry Cycle,S & H (RR Campus),CSE,PES University (Ring Road)
PES1201900175,PES1UG19CS284,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900176,PES1UG19CS592,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900177,PES1UG19CS347,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900178,PES1UG19CS332,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900179,PES1UG19CS123,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road
PES1201900179,PES1UG19CS123,CIE - Level1(Odd Sem),Section A,NA,CIE,CSE,PES University (Ring Road)
PES1201900180,PES1UG19CS282,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900181,PES1UG19CS509,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900182,PES1UG19CS574,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900183,PES1UG19CS107,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900184,PES1UG19CS101,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900185,PES1UG19CS057,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900186,PES1UG19CS520,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900187,PES1UG19CS540,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900188,PES1UG19CS582,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900189,PES1UG19CS484,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900190,PES1UG19CS237,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900191,NA,,,NA,,CSE,
PES1201900192,PES1UG19CS502,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900193,PES1UG19CS206,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900194,PES1UG19CS065,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900195,NA,,,NA,,,
